environment,path_num,pred_sample,type,collision_risk_mean,collision_risk_max,collision_risk_std,dangerous_point_ratio,min_obstacle_distance,unstable_point_ratio,stability_mean,stability_min,stability_max,stability_std,stable_point_ratio,unreachable_point_ratio,path_length,smoothness_x,smoothness_y,smoothness_yaw,smoothness_total,jerk_x,jerk_y,jerk_yaw,acc_std_x,acc_std_y,acc_std_yaw,curvature_mean,curvature_max,curvature_std,curvature_violation_ratio,angular_velocity_mean,angular_velocity_max,angular_velocity_std,speed_mean,speed_max,speed_min,speed_std,slow_point_ratio,speed_change_mean,speed_change_max,estimated_time,heading_error_mean,heading_error_max,heading_error_std,backward_ratio,actual_backward_ratio,out_of_bounds_ratio,out_of_bounds_x_ratio,out_of_bounds_y_ratio,max_exceed_x,max_exceed_y,min_distance_to_boundary,mean_distance_to_boundary
<<<<<<< HEAD
env000010,0,0,stage1_predicted,0.5317760109901428,1.7233489751815796,0.5739822387695312,0.5099999904632568,-1.573349118232727,0.5099999904632568,0.32016780972480774,-1.573349118232727,3.1830878257751465,1.4239084720611572,0.4899999797344208,0.5299999713897705,28.771289825439453,0.0025556718464940786,0.0017782776849344373,0.30865246057510376,0.3129864037036896,0.021861756220459938,0.025144774466753006,0.7250714898109436,0.050345100462436676,0.04238162934780121,0.5574017763137817,0.5641478896141052,6.528951644897461,1.0777661800384521,0.09999999403953552,0.13116715848445892,1.4725466966629028,0.2666884958744049,0.2884225845336914,0.4927253723144531,0.035861700773239136,0.08093862980604172,0.019999999552965164,0.026446735486388206,0.08661364018917084,98.48577880859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4938602447509766,8.152068138122559
env000010,0,1,stage1_predicted,0.4099999964237213,1.6173213720321655,0.5553989410400391,0.4099999964237213,-1.467321515083313,0.4099999964237213,0.4649394452571869,-1.467321515083313,3.586923837661743,1.3858855962753296,0.5899999737739563,0.4099999964237213,28.20651626586914,0.0018622764619067311,0.005686564836651087,0.37235304713249207,0.3799018859863281,0.01693280227482319,0.026038039475679398,0.8058620691299438,0.04336882382631302,0.0754145085811615,0.6124418377876282,0.5162997841835022,9.83996868133545,1.1644670963287354,0.04999999701976776,0.10966149717569351,1.6941218376159668,0.2606537342071533,0.2842775285243988,0.7177162766456604,0.0840020552277565,0.12795890867710114,0.019999999552965164,0.036286283284425735,0.2515639364719391,99.74702453613281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7013397216796875,8.52468204498291
env000010,0,2,stage1_predicted,0.39102408289909363,1.5230534076690674,0.51298987865448,0.429999977350235,-1.3730534315109253,0.429999977350235,0.5413243174552917,-1.3730534315109253,4.2797136306762695,1.5048754215240479,0.5699999928474426,0.4399999976158142,27.778881072998047,0.0009564100182615221,0.009226718917489052,0.3369472920894623,0.3471304178237915,0.014199747703969479,0.044882673770189285,0.7479919791221619,0.031080449000000954,0.09633082896471024,0.58238285779953,0.44663846492767334,2.4350290298461914,0.49475356936454773,0.05999999865889549,0.12121023237705231,1.634763240814209,0.26196596026420593,0.27971217036247253,0.6395470499992371,0.15321257710456848,0.11437241733074188,0.0,0.033691950142383575,0.2752053737640381,99.98439025878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.826528549194336,8.723071098327637
env000010,0,3,stage1_predicted,0.35314348340034485,1.7425787448883057,0.5064977407455444,0.38999998569488525,-1.592578649520874,0.38999998569488525,0.6787470579147339,-1.592578649520874,3.935692071914673,1.451478362083435,0.6100000143051147,0.3999999761581421,28.60555648803711,0.0010830879909917712,0.0084226680919528,0.3159848153591156,0.3254905641078949,0.016348643228411674,0.04024466499686241,0.7269650101661682,0.0330582857131958,0.09177695959806442,0.564094066619873,0.4897979199886322,2.552919626235962,0.6010815501213074,0.09999999403953552,0.12646447122097015,1.5945594310760498,0.2602357566356659,0.2889876961708069,0.5728253722190857,0.10463737696409225,0.08848857134580612,0.0,0.0330410860478878,0.27144718170166016,99.46450805664062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8050594329833984,9.33691120147705
env000010,0,4,stage1_predicted,0.45044225454330444,1.536305546760559,0.50489342212677,0.47999998927116394,-1.386305570602417,0.47999998927116394,0.40956583619117737,-1.386305570602417,2.8738644123077393,1.3160014152526855,0.5199999809265137,0.5,31.419816970825195,0.0026623718440532684,0.008782090619206429,0.6609577536582947,0.6724022030830383,0.026746220886707306,0.04340633004903793,1.1286076307296753,0.05184698477387428,0.09376353770494461,0.8159725666046143,1.682291865348816,96.20360565185547,9.640259742736816,0.14000000059604645,0.1760503202676773,2.0911476612091064,0.3533634543418884,0.31553375720977783,0.5983466506004333,0.05252683535218239,0.09792190790176392,0.029999999329447746,0.04426144063472748,0.31505799293518066,100.19156646728516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.632627487182617,7.85645866394043
env000010,0,5,stage1_predicted,0.49936097860336304,1.5746384859085083,0.5202780961990356,0.5399999618530273,-1.4246385097503662,0.5399999618530273,0.2526628077030182,-1.4246385097503662,2.7084145545959473,1.2495369911193848,0.4599999785423279,0.550000011920929,30.485061645507812,0.00475848326459527,0.006188348401337862,0.5552763342857361,0.56622314453125,0.032941292971372604,0.030602658167481422,0.9972435235977173,0.0692979171872139,0.07882232218980789,0.748320460319519,0.6392681002616882,12.572961807250977,1.6724785566329956,0.05999999865889549,0.13281099498271942,1.964585781097412,0.3146997094154358,0.3066557049751282,0.5900101065635681,0.07958231121301651,0.10830839723348618,0.009999999776482582,0.03723633289337158,0.23941725492477417,99.72146606445312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.599031448364258,7.683718204498291
env000010,0,6,stage1_predicted,0.19515565037727356,1.3716845512390137,0.36482104659080505,0.25,-1.221684455871582,0.25,0.7698405385017395,-1.221684455871582,2.504683494567871,0.9576899409294128,0.75,0.25999999046325684,34.12896728515625,0.0022471726406365633,0.005850604735314846,0.6844070553779602,0.6925047636032104,0.020799407735466957,0.030514772981405258,1.1162997484207153,0.04762841761112213,0.07673696428537369,0.8300638198852539,0.4366287887096405,10.913573265075684,1.156859278678894,0.04999999701976776,0.12720893323421478,2.1380081176757812,0.31610408425331116,0.34442687034606934,0.5654235482215881,0.14809590578079224,0.07728230953216553,0.0,0.027421975508332253,0.21117448806762695,99.64375305175781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4634647369384766,7.077946186065674
env000010,0,7,stage1_predicted,0.34217002987861633,1.3049978017807007,0.4497275948524475,0.3999999761581421,-1.154997706413269,0.3999999761581421,0.5088661909103394,-1.154997706413269,3.740997314453125,1.2954639196395874,0.5999999642372131,0.429999977350235,29.290145874023438,0.0014775447780266404,0.0064489697106182575,0.619430661201477,0.6273570656776428,0.015915563330054283,0.031370680779218674,1.092698574066162,0.038627222180366516,0.0803716778755188,0.789884626865387,1.1358091831207275,76.9547119140625,7.676619529724121,0.07999999821186066,0.12352797389030457,2.075108051300049,0.3020760715007782,0.29550743103027344,0.6066935658454895,0.05636611953377724,0.09782981127500534,0.009999999776482582,0.030971866101026535,0.29354357719421387,99.85989379882812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6687355041503906,8.280872344970703
env000010,0,8,stage1_predicted,0.4530597925186157,1.7645219564437866,0.558557391166687,0.4599999785423279,-1.6145219802856445,0.4599999785423279,0.3301396071910858,-1.6145219802856445,3.1221911907196045,1.2791463136672974,0.5399999618530273,0.47999998927116394,27.935945510864258,0.0022608451545238495,0.0010540966177359223,0.014167766086757183,0.017482709139585495,0.02063005417585373,0.015810132026672363,0.13738411664962769,0.047692570835351944,0.03260108828544617,0.11958999186754227,0.7469108700752258,10.935261726379395,1.410742163658142,0.11999999731779099,0.11829308420419693,0.7774671316146851,0.1712389886379242,0.27992770075798035,0.5764531493186951,0.10665899515151978,0.129970520734787,0.0,0.03129523620009422,0.09834615886211395,99.53343963623047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3325424194335938,7.905163288116455
